Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3,Cat_4
C8,111-65-9,Rxi17SilMS,45.508,24.905,149.92,0.001,Marquart2020,alkane,alkanes,,
C9,111-84-2,Rxi17SilMS,65.781,26.946,94.747,0.001,Marquart2020,alkane,alkanes,,
C10,124-18-5,Rxi17SilMS,85.071,27.71,85.412,0.001,Marquart2020,alkane,Grob,alkanes,
C11,1120-21-4,Rxi17SilMS,102.86,28.28,86.37,0.001,Marquart2020,alkane,Grob,alkanes,
C12,112-40-3,Rxi17SilMS,119.42,28.859,91.18,0.001,Marquart2020,alkane,alkanes,,
C13,629-50-5,Rxi17SilMS,134.92,29.312,91.168,0.001,Marquart2020,alkane,alkanes,,
C14,629-59-4,Rxi17SilMS,149.73,30.18,98.129,0.001,Marquart2020,alkane,alkanes,,
C15,629-62-9,Rxi17SilMS,163.32,30.464,110.07,0.001,Marquart2020,alkane,alkanes,,
C16,544-76-3,Rxi17SilMS,176.25,30.635,102.94,0.001,Marquart2020,alkane,alkanes,,
C17,629-78-7,Rxi17SilMS,188.54,31.069,110.15,0.001,Marquart2020,alkane,alkanes,,
C18,593-45-3,Rxi17SilMS,200.23,31.415,114.41,0.001,Marquart2020,alkane,alkanes,,
C19,629-92-5,Rxi17SilMS,211.31,31.618,112.71,0.001,Marquart2020,alkane,alkanes,,
C20,112-95-8,Rxi17SilMS,221.86,31.821,113.51,0.001,Marquart2020,alkane,alkanes,,
C21,629-94-7,Rxi17SilMS,231.93,31.968,111.34,0.001,Marquart2020,alkane,alkanes,,
C22,629-97-0,Rxi17SilMS,241.56,32.126,113.38,0.001,Marquart2020,alkane,alkanes,,
C23,638-67-5,Rxi17SilMS,250.79,32.255,112.43,0.001,Marquart2020,alkane,alkanes,,
C24,646-31-1,Rxi17SilMS,259.66,32.403,113.42,0.001,Marquart2020,alkane,alkanes,,
C25,629-99-2,Rxi17SilMS,268.17,32.555,115.42,0.001,Marquart2020,alkane,alkanes,,
C26,630-01-3,Rxi17SilMS,276.33,32.609,113.85,0.001,Marquart2020,alkane,alkanes,,
C27,593-49-7,Rxi17SilMS,284.24,32.804,120.87,0.001,Marquart2020,alkane,alkanes,,
C28,630-02-4,Rxi17SilMS,291.9,33.056,131.05,0.001,Marquart2020,alkane,alkanes,,
C29,630-03-5,Rxi17SilMS,299.42,33.386,140.54,0.001,Marquart2020,alkane,alkanes,,
C30,638-68-6,Rxi17SilMS,306.72,33.763,152.99,0.001,Marquart2020,alkane,alkanes,,
Limonene,138-86-3,Rxi17SilMS,106.14,30.828,80.646,0.001,Marquart2020,terpene,allergenic fragrances,,
Linalool,78-70-6,Rxi17SilMS,120.72,29.529,89.817,0.001,Marquart2020,allergenic fragrances,terpene,,
Benzylalkohol,100-51-6,Rxi17SilMS,129.2,32.206,82.837,0.001,Marquart2020,allergenic fragrances,alcohol,,
Geraniol,106-24-1,Rxi17SilMS,150.5,31.082,95.209,0.001,Marquart2020,terpene,allergenic fragrances,,
Citral A,5392-40-5,Rxi17SilMS,152.75,31.575,96.361,0.001,Marquart2020,allergenic fragrances,,,
Citral B,106-26-3,Rxi17SilMS,157.47,31.541,100.78,0.001,Marquart2020,allergenic fragrances,,,
Cinnamaldehyde,104-55-2,Rxi17SilMS,174.36,34.54,88.449,0.001,Marquart2020,aldehyde,allergenic fragrances,,
Eugenol,97-53-0,Rxi17SilMS,178.4,34.047,93.48,0.001,Marquart2020,allergenic fragrances,,,
Isomethyl-alpha-Ionon,127-51-5,Rxi17SilMS,184.71,34.197,95.213,0.001,Marquart2020,allergenic fragrances,,,
Isoeugenol,97-54-1,Rxi17SilMS,193.83,34.728,92.015,0.001,Marquart2020,allergenic fragrances,,,
Benzylbenzoate,120-51-4,Rxi17SilMS,241.68,37.953,101.99,0.001,Marquart2020,allergenic fragrances,,,
Benzylsalicylate,118-58-1,Rxi17SilMS,252.8,38.738,99.954,0.001,Marquart2020,ester,allergenic fragrances,,
Benzylcinnamate,103-41-3,Rxi17SilMS,278.55,39.24,116.97,0.001,Marquart2020,allergenic fragrances,,,
Farnesol A,4602-84-0,Rxi17SilMS,210.18,33.545,115.85,0.001,Marquart2020,allergenic fragrances,,,
Amylcinnamylalkohol A,101-85-9,Rxi17SilMS,213.44,33.608,93.779,0.001,Marquart2020,allergenic fragrances,,,
Farnesol B,4602-84-0,Rxi17SilMS,215.35,35.982,156.36,0.001,Marquart2020,allergenic fragrances,,,
Amylcinnamylalkohol B,101-85-9,Rxi17SilMS,219.77,35.38,113.0,0.001,Marquart2020,allergenic fragrances,,,
Amylcinnamylalkohol C,101-85-9,Rxi17SilMS,223.2,36.877,124.46,0.001,Marquart2020,allergenic fragrances,,,
Citronellol,106-22-9,Rxi17SilMS,143.1,30.488,98.71,0.001,Marquart2020,allergenic fragrances,,,
Hydroxycitronellal,107-75-5,Rxi17SilMS,160.17,31.103,112.47,0.001,Marquart2020,aldehyde,allergenic fragrances,,
Anisalkohol,105-13-5,Rxi17SilMS,174.13,33.262,81.445,0.001,Marquart2020,allergenic fragrances,,,
Cinnamylalkohol A,104-54-1,Rxi17SilMS,177.17,34.332,87.288,0.001,Marquart2020,alcohol,allergenic fragrances,,
Cinnamylalkohol B,104-54-1,Rxi17SilMS,180.76,33.829,87.665,0.001,Marquart2020,alcohol,allergenic fragrances,,
Coumarin,91-64-5,Rxi17SilMS,210.54,38.708,93.95,0.001,Marquart2020,allergenic fragrances,,,
alpha-Pinen,80-56-8,Rxi17SilMS,83.227,29.989,82.196,0.001,Marquart2020,allergenic fragrances,,,
beta-Pinene,127-91-3,Rxi17SilMS,96.536,31.149,72.551,0.001,Marquart2020,allergenic fragrances,,,
Benzaldehyd,100-52-7,Rxi17SilMS,116.86,32.053,79.19,0.001,Marquart2020,allergenic fragrances,aldehyde,,
Salicylaldehyd,90-02-8,Rxi17SilMS,131.98,33.175,73.498,0.001,Marquart2020,allergenic fragrances,,,
Menthol,1490-04-6,Rxi17SilMS,137.3,31.874,78.524,0.001,Marquart2020,allergenic fragrances,,,
Methyl-2-Octyonate,111-12-6,Rxi17SilMS,147.71,29.752,64.164,0.001,Marquart2020,allergenic fragrances,,,
Methylsalicylat,119-36-8,Rxi17SilMS,154.11,34.123,95.508,0.001,Marquart2020,allergenic fragrances,,,
Isobornylacetat,76-49-3,Rxi17SilMS,157.55,33.044,81.267,0.001,Marquart2020,allergenic fragrances,,,
Carvone,99-49-0,Rxi17SilMS,160.07,33.285,82.81,0.001,Marquart2020,allergenic fragrances,,,
beta-Caryophyllene,87-44-5,Rxi17SilMS,172.85,34.686,61.769,0.001,Marquart2020,allergenic fragrances,,,
d-Damascone,57378-68-4,Rxi17SilMS,173.3,34.657,113.26,0.001,Marquart2020,allergenic fragrances,,,
E-beta-Damascone,23726-93-4,Rxi17SilMS,179.92,33.969,92.213,0.001,Marquart2020,allergenic fragrances,,,
Majantol,103694-68-4,Rxi17SilMS,183.58,34.558,96.669,0.001,Marquart2020,allergenic fragrances,,,
Amylsalicylate,2050-08-0,Rxi17SilMS,202.07,35.067,100.5,0.001,Marquart2020,allergenic fragrances,,,
3-Propylidenephthalide,17369-59-4,Rxi17SilMS,218.14,37.653,92.163,0.001,Marquart2020,allergenic fragrances,,,
Isoeugenylacetat,93-29-8,Rxi17SilMS,216.5,34.412,118.98,0.001,Marquart2020,allergenic fragrances,,,
alpha-Acetylcedrene A,32388-55-9,Rxi17SilMS,229.4,37.845,97.227,0.001,Marquart2020,allergenic fragrances,,,
alpha-Acetylcedrene B,32388-55-9,Rxi17SilMS,231.8,39.798,113.08,0.001,Marquart2020,allergenic fragrances,,,
