Name,L1,tR1,tR2
2-Hexanone,28.0,207.97731119296756,1.3767232702157053
Pentanol,28.0,235.98436295823652,1.1119472516644358
4-Methyl-2-pentanone,28.0,255.82630997873008,1.0545584539368902
Heptanol,28.0,536.0093627081594,1.328065651691972
Propiophenone,28.0,881.4592071867517,2.065510304594875
1-Nonanol,28.0,895.7195457422537,1.3610804150190765
1-Decanol,28.0,1075.3734803976542,1.339445120758422
2-Undecanone,28.0,1099.3249964866284,1.4078119822406596
Valerophenone,28.0,1204.2044682979124,1.9092503649484853
1-Undecanol,28.0,1240.1795452574477,1.330490782603848
Hexanophenone,28.0,1367.8026931073475,1.8519312962975558
1-Dodecanol,28.0,1399.7705008666446,1.307991234607197
2-Hexanone,28.5,211.9996694412041,1.36666448317854
Pentanol,28.5,240.0626578955967,1.1061268598274945
4-Methyl-2-pentanone,28.5,260.0154719428542,1.0496616566940613
Heptanol,28.5,543.5906701290425,1.3113818115743883
Propiophenone,28.5,888.1724849336883,2.034439110960877
1-Nonanol,28.5,903.6721338827367,1.3432480197846906
1-Decanol,28.5,1083.3718442182712,1.3221400097024774
2-Undecanone,28.5,1107.3029761148598,1.3886231036800083
Valerophenone,28.5,1212.4119562651315,1.8775806648159288
1-Undecanol,28.5,1248.2498682028247,1.3132150126543167
Hexanophenone,28.5,1376.006089060983,1.821218680379746
1-Dodecanol,28.5,1407.8717795601794,1.2915066877690875
2-Hexanone,29.0,216.01807470481563,1.3567888601707758
Pentanol,29.0,245.1450797313818,1.099008626360131
4-Methyl-2-pentanone,29.0,264.911318014727,1.044028332961038
Heptanol,29.0,550.2901087908992,1.2970577712082474
Propiophenone,29.0,895.8841701447308,1.9997421923372654
1-Nonanol,29.0,911.5648341952524,1.326058727773696
1-Decanol,29.0,1091.292529219178,1.305484059223714
2-Undecanone,29.0,1115.1934528068812,1.3701899032802738
Valerophenone,29.0,1220.6089582209788,1.8459597487924368
1-Undecanol,29.0,1256.2807399554938,1.296498336854482
Hexanophenone,29.0,1384.1646850740608,1.7915583914166733
1-Dodecanol,29.0,1415.924350121574,1.2755653571718932
2-Hexanone,29.5,220.2433553252356,1.3465907663790437
Pentanol,29.5,251.37683402443474,1.090456244176841
4-Methyl-2-pentanone,29.5,271.4763171871894,1.0366031552962345
Heptanol,29.5,556.6717426601333,1.28374540005463
Propiophenone,29.5,903.8108688030508,1.965136968944795
1-Nonanol,29.5,919.3699564961202,1.3095416355594032
1-Decanol,29.5,1099.1215033885205,1.2894754473321273
2-Undecanone,29.5,1122.9775783672874,1.3525182028599239
Valerophenone,29.5,1228.7669083528058,1.8154107226733478
1-Undecanol,29.5,1264.26619658281,1.2803297453741833
Hexanophenone,29.5,1392.3082014436968,1.7628014679661466
1-Dodecanol,29.5,1423.941775882169,1.2601184125870994
2-Hexanone,30.0,225.24251556885798,1.3347677657896997
Pentanol,30.0,255.97972309531244,1.0842664678700742
4-Methyl-2-pentanone,30.0,275.9968246069315,1.0315776905060607
Heptanol,30.0,564.0296207143394,1.2688064815738551
Propiophenone,30.0,911.7031913664871,1.9317057147547476
1-Nonanol,30.0,927.0439822220474,1.2937528507301455
1-Decanol,30.0,1106.8324104354979,1.2741349820061822
2-Undecanone,30.0,1130.6268106764035,1.3356320541823814
Valerophenone,30.0,1236.8566350464541,1.7859971967996082
1-Undecanol,30.0,1272.2111962590375,1.2646769332334729
Hexanophenone,30.0,1400.426217352706,1.7349491317426287
1-Dodecanol,30.0,1431.9281274945067,1.2451385708934601
2-Hexanone,30.5,230.83471032967987,1.3218224100995417
Pentanol,30.5,260.07146295509074,1.0788598008739874
4-Methyl-2-pentanone,30.5,280.3709076153567,1.0267879156405877
Heptanol,30.5,571.506033428244,1.2540735855486675
Propiophenone,30.5,920.0098148027308,1.8980347674706592
1-Nonanol,30.5,934.54387927501,1.2787391290591716
1-Decanol,30.5,1114.3989036203018,1.2594793248575804
2-Undecanone,30.5,1138.1233383735762,1.3195277378833774
Valerophenone,30.5,1244.8654683484294,1.7577119607384761
1-Undecanol,30.5,1280.1299224431252,1.2494923637673765
Hexanophenone,30.5,1408.4990639975233,1.7080309676603722
1-Dodecanol,30.5,1439.8829800079739,1.2306084460687103
2-Hexanone,31.0,235.77333486733602,1.310631166170484
Pentanol,31.0,265.1719057984202,1.0722437307007637
4-Methyl-2-pentanone,31.0,286.7489262356083,1.0199203071417893
Heptanol,31.0,577.7797822761692,1.2420405562356174
Propiophenone,31.0,927.21582305571,1.8694900033449837
1-Nonanol,31.0,941.8727116617838,1.264451092592151
1-Decanol,31.0,1123.9998306636255,1.2414151468527255
2-Undecanone,31.0,1145.5038200313602,1.3040873306385612
Valerophenone,31.0,1252.7933910482918,1.7305027520683225
1-Undecanol,31.0,1288.0303074709652,1.234743837299838
Hexanophenone,31.0,1416.5143385687868,1.6820480535818356
1-Dodecanol,31.0,1451.5532902540829,1.2099742602402672
2-Hexanone,31.5,239.98186005149117,1.3012829693770598
Pentanol,31.5,271.35105581990246,1.0643858920742106
4-Methyl-2-pentanone,31.5,291.9534932182104,1.014407794498441
Heptanol,31.5,584.291831119945,1.2298368485470774
Propiophenone,31.5,934.7382100270869,1.8403293458358654
1-Nonanol,31.5,949.1345805674175,1.2506536756423727
1-Decanol,31.5,1129.1787255755673,1.2319349513906044
2-Undecanone,31.5,1152.8657863768333,1.28908184318836
Valerophenone,31.5,1260.6549627810164,1.7042722215101467
1-Undecanol,31.5,1295.9109712873837,1.2204182435543094
Hexanophenone,31.5,1424.4690075722408,1.656969982847532
1-Dodecanol,31.5,1455.6527725579908,1.2029065464153124
2-Hexanone,32.0,244.00280144754268,1.2925078158891528
Pentanol,32.0,275.97531624474584,1.0586208592248092
4-Methyl-2-pentanone,32.0,296.1020977433978,1.0100809603913667
Heptanol,32.0,591.8187267761781,1.216117126983231
Propiophenone,32.0,942.0739246345482,1.8126693748553162
1-Nonanol,32.0,956.5158999841756,1.2369862910223286
1-Decanol,32.0,1136.6002218984281,1.2186209254230331
2-Undecanone,32.0,1160.3676891532969,1.2741873007974043
Valerophenone,32.0,1268.4748797226982,1.6788986260955645
1-Undecanol,32.0,1303.7297625605984,1.20657407620087
Hexanophenone,32.0,1432.3753398732465,1.6327211964268278
1-Dodecanol,32.0,1463.4007902875364,1.189810138231858
