Name,shift,tR1,tR2
2-Hexanone,0.0,221.0178474453989,0.7816201018977649
Pentanol,0.0,251.85548566133616,0.5292408070906621
4-Methyl-2-pentanone,0.0,271.8831451989902,0.4775401168317421
Heptanol,0.0,557.3915060619274,0.7198522268931145
Propiophenone,0.0,904.0453043610728,1.3999369831005344
1-Nonanol,0.0,919.7599273191254,0.7465011627047952
1-Decanol,0.0,1099.6143131078418,0.7264699524119131
2-Undecanone,0.0,1123.5287605353974,0.7887568284605959
Valerophenone,0.0,1229.4106312623696,1.2491649689024744
1-Undecanol,0.0,1264.6741781615813,0.7176425780220631
Hexanophenone,0.0,1392.7342137577418,1.197614291740306
1-Dodecanol,0.0,1424.1549053127371,0.6981599039683899
2-Hexanone,0.1,221.25800631778577,0.6812903283106706
Pentanol,0.1,251.89875996686615,0.4293159562300822
4-Methyl-2-pentanone,0.1,271.9186394325638,0.37761053685090773
Heptanol,0.1,557.5636421752937,0.6197061360422147
Propiophenone,0.1,904.0911259299305,1.3001697427692638
1-Nonanol,0.1,919.8139664278788,0.6465955997362368
1-Decanol,0.1,1099.6847483100019,0.6265281977350728
2-Undecanone,0.1,1123.6090584963533,0.6887995428860404
Valerophenone,0.1,1229.5588511011574,1.1489889500971164
1-Undecanol,0.1,1264.783833660729,0.6176244190005252
Hexanophenone,0.1,1392.8444303405797,1.097580530676684
1-Dodecanol,0.1,1424.206372302706,0.5982516227304524
2-Hexanone,0.2,221.51953713477928,0.5809097324432558
Pentanol,0.2,251.93063170674884,0.3294064747802735
4-Methyl-2-pentanone,0.2,271.9445956794808,0.27769143032193916
Heptanol,0.2,557.7412620712053,0.519548690465177
Propiophenone,0.2,904.139516089005,1.2003917549886198
1-Nonanol,0.2,919.8623160032166,0.5467019329948631
1-Decanol,0.2,1099.747244870542,0.5266024134542167
2-Undecanone,0.2,1123.6802875260921,0.588862511208193
Valerophenone,0.2,1229.7110851780747,1.0487979479462188
1-Undecanol,0.2,1264.903133501539,0.5175872569493727
Hexanophenone,0.2,1392.963066460891,0.9975174938636893
1-Dodecanol,0.2,1424.2636470398388,0.4983324469137362
2-Hexanone,0.3,221.79553253305875,0.48049452648817176
Pentanol,0.3,251.95355608928685,0.22950900844318578
4-Methyl-2-pentanone,0.3,271.9631812678279,0.17778052842996592
Heptanol,0.3,557.9221753114335,0.41938434808731784
Propiophenone,0.3,904.1916805736857,1.1005978879753706
1-Nonanol,0.3,919.9061920109538,0.4468176223986626
