Name,shift,tR1,tR2
2-Hexanone,0.0,221.017068089509,0.7627902825678622
Pentanol,0.0,251.85538428924582,0.5129147089585934
4-Methyl-2-pentanone,0.0,271.88307508263165,0.4627599621020019
Heptanol,0.0,557.3906733964975,0.7029501659026839
Propiophenone,0.0,904.0451784865111,1.3783120425151063
1-Nonanol,0.0,919.7597080521475,0.7306453888467789
1-Decanol,0.0,1099.6140102640236,0.7114600689957717
2-Undecanone,0.0,1123.5283934043243,0.7730811417265687
Valerophenone,0.0,1229.410043822291,1.2292954661815851
1-Undecanol,0.0,1264.6737170733365,0.7034038567360061
Hexanophenone,0.0,1392.7338268375772,1.1786473111472624
1-Dodecanol,0.0,1424.1547353409248,0.6845106182189765
2-Hexanone,0.1,221.2571200745763,0.6624644031548405
Pentanol,0.1,251.89868818475685,0.4129887941951042
4-Methyl-2-pentanone,0.1,271.91858988950054,0.3628285241957639
Heptanol,0.1,557.5627675555336,0.6028057462476999
Propiophenone,0.1,904.0909924335704,1.2785425242842248
1-Nonanol,0.1,919.8137779955226,0.6307386550328037
1-Decanol,0.1,1099.6844883478482,0.6115175198261835
2-Undecanone,0.1,1123.608742507723,0.6731232847925107
Valerophenone,0.1,1229.558239791832,1.1291212427519357
1-Undecanol,0.1,1264.7833171562677,0.6033860757576142
Hexanophenone,0.1,1392.8440027502181,1.0786139727637882
1-Dodecanol,0.1,1424.206177803924,0.5846010191070065
2-Hexanone,0.2,221.51856804474335,0.5620881883989529
Pentanol,0.2,251.9305819303408,0.31307800145024217
4-Methyl-2-pentanone,0.2,271.94456167747967,0.2629073518679716
Heptanol,0.2,557.7403582494431,0.5026500811120052
Propiophenone,0.2,904.1393700207104,1.1787624141985786
1-Nonanol,0.2,919.862152369447,0.5308436868229301
1-Decanol,0.2,1099.7470217598225,0.5115907333635462
2-Undecanone,0.2,1123.6800163001164,0.5731854337284144
Valerophenone,0.2,1229.7104564520748,1.0289321631128094
1-Undecanol,0.2,1264.902563173901,0.5033494915547375
Hexanophenone,0.2,1392.9625995019162,0.978551729214164
1-Dodecanol,0.2,1424.2634216745612,0.48468077353011424
2-Hexanone,0.3,221.79451580545705,0.46167768017528454
Pentanol,0.3,251.95352245448416,0.21317909293023832
4-Methyl-2-pentanone,0.3,271.96315829503584,0.16299412566180946
Heptanol,0.3,557.9212573860763,0.4024875574582854
Propiophenone,0.3,904.191517054133,1.0789665790316616
1-Nonanol,0.3,919.9060466388913,0.4309580085391967
1-Decanol,0.3,1099.8025766564317,0.4116778175659972
2-Undecanone,0.3,1123.7430227062744,0.47326583407362355
Valerophenone,0.3,1229.8653435648762,0.9287331146306618
1-Undecanol,0.3,1265.031083690978,0.40329480356630415
Hexanophenone,0.3,1393.0892186537292,0.8784619069304873
1-Dodecanol,0.3,1424.327525218669,0.38474791029518857
2-Hexanone,0.4,222.07677153359495,0.3612519755705
Pentanol,0.4,251.9696633083152,0.11328922798989957
4-Methyl-2-pentanone,0.4,271.9762490738622,0.06308684431089003
Heptanol,0.4,558.1031501035536,0.3023228244500586
Propiophenone,0.4,904.248571555744,0.9791501675240688
1-Nonanol,0.4,919.9467465402516,0.33107899820342135
1-Decanol,0.4,1099.852245970529,0.3117766276435011
2-Undecanone,0.4,1123.7987294900292,0.3733623773437124
Valerophenone,0.4,1230.0214713239566,0.828529281412996
1-Undecanol,0.4,1265.1682473850926,0.3032232177207951
Hexanophenone,0.4,1393.2232439153802,0.778346580301529
1-Dodecanol,0.4,1424.3994171972408,0.2848006957471947
2-Hexanone,0.5,222.35657121739908,0.26083154239262485
Pentanol,0.5,251.98082031502778,0.013406009829851915
4-Methyl-2-pentanone,0.5,267.9854002583789,3.9631838301612534
Heptanol,0.5,558.2836842597998,0.20216061365432636
Propiophenone,0.5,904.3115797270071,0.8793087123666333
1-Nonanol,0.5,919.9855856953429,0.2312039333682236
1-Decanol,0.5,1099.8972227144582,0.21188481870814144
2-Undecanone,0.5,1123.8482350249894,0.27347266521311314
Valerophenone,0.5,1230.1773732795345,0.7283259887822479
1-Undecanol,0.5,1265.3131715240659,0.2031364307463574
Hexanophenone,0.5,1393.3638524467465,0.6782085341837213
1-Dodecanol,0.5,1424.479869723264,0.18483768416711513
2-Hexanone,0.6,222.6253870466528,0.16043633155450712
Pentanol,0.6,247.9884816982667,3.9135274730783434
4-Methyl-2-pentanone,0.6,267.9919054942287,3.8632836972594977
Heptanol,0.6,558.4605621099862,0.10200555485059731
Propiophenone,0.6,904.3814713535259,0.7794382347803501
1-Nonanol,0.6,920.0239250553684,0.13133003335255913
1-Decanol,0.6,1099.9387751450674,0.11199989490782843
2-Undecanone,0.6,1123.8927405989248,0.1735940703850514
Valerophenone,0.6,1230.3315907555418,0.6281285419409833
1-Undecanol,0.6,1265.464740440772,0.10303659503596872
Hexanophenone,0.6,1393.5100336307755,0.5780512007533515
1-Dodecanol,0.6,1424.5694715204952,0.08485776742884356
2-Hexanone,0.7,222.8756976299023,0.060083973769864095
Pentanol,0.7,247.99385147283874,3.813652027342794
4-Methyl-2-pentanone,0.7,267.9968416883615,3.763385291969253
Heptanol,0.7,556.0000630742226,2.6334273364815455
Propiophenone,0.7,904.459035128097,0.6795353494966649
1-Nonanol,0.7,920.0631333972622,0.031454499003661575
1-Decanol,0.7,1099.9782239209326,0.012119254588806075
2-Undecanone,0.7,1123.9335249785413,0.0737237925677383
Valerophenone,0.7,1230.4827168421837,0.5279420659906212
1-Undecanol,0.7,1263.9997996609168,1.624760493545573
Hexanophenone,0.7,1393.6606150061602,0.4778785717976903
1-Dodecanol,0.7,1420.6686029767097,3.9848602214960107
2-Hexanone,0.8,219.10160569721646,3.9597883287178357
Pentanol,0.8,247.9979154752648,3.7137783707168914
4-Methyl-2-pentanone,0.8,268.0011415584827,3.6634876156988208
Heptanol,0.8,554.7949495522416,3.901733854158568
Propiophenone,0.8,904.5448946589908,0.5795973669996247
1-Nonanol,0.8,916.1045681193018,3.931574552123857
1-Decanol,0.8,1096.0169211031478,3.912240231777777
2-Undecanone,0.8,1119.9719214229474,3.973858909084713
Valerophenone,0.8,1230.6294380836282,0.4277713538726081
1-Undecanol,0.8,1261.7823645133092,3.902808320964637
Hexanophenone,0.8,1393.81429461849,0.37769508878799446
1-Dodecanol,0.8,1420.7774146146576,3.8848447467192453
2-Hexanone,0.9,219.29922109160785,3.859558579985458
Pentanol,0.9,248.0015212838542,3.6139053847768055
4-Methyl-2-pentanone,0.9,268.0056757452409,3.563589737241685
Heptanol,0.9,554.9488791008697,3.801624460802443
Propiophenone,0.9,904.6394861881777,0.4796223888661267
1-Nonanol,0.9,916.1495553314495,3.8316874759801647
1-Decanol,0.9,1096.056230276024,3.8123601355369714
2-Undecanone,0.9,1120.0092969653335,3.873996420533217
Valerophenone,0.9,1230.7705721433224,0.32762072872646675
1-Undecanol,0.9,1261.9453229957292,3.802685889519013
Hexanophenone,0.9,1393.9696786473392,0.27750551473741086
1-Dodecanol,0.9,1420.8958106991238,3.7848114986661723
2-Hexanone,1.0,219.46677369975757,3.7593989602533684
Pentanol,1.0,248.00546547508557,3.5140320197601627
4-Methyl-2-pentanone,1.0,268.0113387342485,3.4636907008578897
Heptanol,1.0,555.0921064548251,3.7015364842356977
Propiophenone,1.0,904.7430392374753,0.3796093907430413
1-Nonanol,1.0,916.1993685483444,3.731790658858831
1-Decanol,1.0,1096.0975071230214,3.712476288191318
2-Undecanone,1.0,1120.0470332120442,3.774133292954382
Valerophenone,1.0,1230.905100002302,0.22749392588059933
1-Undecanol,1.0,1262.108828958508,3.7025622371060583
Hexanophenone,1.0,1394.1253228286357,0.17731479274162998
1-Dodecanol,1.0,1421.0234396355709,3.6847611065708215
2-Hexanone,1.1,219.60447066933557,3.6593090753226782
Pentanol,1.1,248.01058337638912,3.4141571763260954
4-Methyl-2-pentanone,1.1,268.01913350102694,3.3637894357144926
Heptanol,1.1,555.2236866583039,3.6014718573176467
Propiophenone,1.1,904.8555615003518,0.2795582876934099
1-Nonanol,1.1,916.2552052798222,3.6318816418019497
1-Decanol,1.1,1096.1420794815695,3.6125860647588706
2-Undecanone,1.1,1120.086507843922,3.674266498546804
Valerophenone,1.1,1231.0321916040489,0.1273939984436049
1-Undecanol,1.1,1262.2711851995823,3.6024406684871306
Hexanophenone,1.1,1394.2797759463315,0.07712789717711097
1-Dodecanol,1.1,1421.159692587489,3.584694676581503
2-Hexanone,1.2,219.71415351704528,3.5592846979876778
Pentanol,1.2,248.01783716338363,3.314279589286769
4-Methyl-2-pentanone,1.2,268.03024951276933,3.2638846723320376
Heptanol,1.2,555.3430510819717,3.501431756777858
Propiophenone,1.2,904.9768292825568,0.1794699760815556
1-Nonanol,1.2,916.3181613988735,3.5319581709560017
1-Decanol,1.2,1096.1912261946927,3.512686934547509
2-Undecanone,1.2,1120.1290757678803,3.5743930569763096
Valerophenone,1.2,1231.1512242711701,0.02732324907580525
1-Undecanol,1.2,1262.4307326636845,3.5023244188986418
Hexanophenone,1.2,1390.431623536063,3.9769496838650076
1-Dodecanol,1.2,1421.3037113550165,3.4846137779167647
2-Hexanone,1.3,219.7988353485313,3.4593188454643
Pentanol,1.3,248.02839760358577,3.21439771963149
4-Methyl-2-pentanone,1.3,268.0461275816737,3.163974872762838
Heptanol,1.3,555.4500001208927,3.40141661634407
Propiophenone,1.3,905.106384655784,0.07934634730152183
1-Nonanol,1.3,916.3892034853104,3.432018254057807
1-Decanol,1.3,1096.246154034163,3.4127765066010225
2-Undecanone,1.3,1120.1760488939376,3.4745100797282538
Valerophenone,1.3,1227.261793649455,3.9272831889503945
1-Undecanol,1.3,1262.5859034721684,3.4022165505762483
Hexanophenone,1.3,1390.5795299371396,3.8767847456326043
1-Dodecanol,1.3,1421.454406042745,3.384520410910987
2-Hexanone,1.4,219.86220389149173,3.359402939476986
Pentanol,1.4,248.04371311587855,3.1145096631644
4-Methyl-2-pentanone,1.4,268.0685034638352,3.064058183614052
Heptanol,1.4,555.5446803591152,3.3014261716951725
Propiophenone,1.4,901.2445735738287,3.9781569227863
1-Nonanol,1.4,916.469139863864,3.3320602197433984
1-Decanol,1.4,1096.3079725237826,3.3128525793344075
2-Undecanone,1.4,1120.2286738884115,3.3746148188120855
Valerophenone,1.4,1227.3637173482286,3.827274523185586
1-Undecanol,1.4,1262.7352694986275,3.3021198577381607
Hexanophenone,1.4,1390.7222769474379,3.776637279167298
1-Dodecanol,1.4,1421.6104824405395,3.2844169570271973
2-Hexanone,1.5,219.9081643335206,3.2595278763535234
Pentanol,1.5,248.0655575865188,3.014613086588109
4-Methyl-2-pentanone,1.5,268.09942069142545,2.9641324215418536
Heptanol,1.5,555.6275496109216,3.201459529780207
Propiophenone,1.5,901.3873920614345,3.879005532764245
1-Nonanol,1.5,916.5585915183376,3.23208277713889
1-Decanol,1.5,1096.3776667868858,3.212913194102595
2-Undecanone,1.5,1120.2881073224687,3.274704721195496
Valerophenone,1.5,1227.4570318104102,3.727297161001986
1-Undecanol,1.5,1262.877584314002,3.202036784363455
Hexanophenone,1.5,1390.8587975670314,3.6765109685884316
1-Dodecanol,1.5,1421.7704783995237,3.1843061121290814
2-Hexanone,1.6,219.94047309582265,3.1596848860032902
Pentanol,1.6,248.09604633916254,2.9147052056878966
4-Methyl-2-pentanone,1.6,268.14120272049513,2.8641951023676846
Heptanol,1.6,555.6993338210661,3.1015152548739597
Propiophenone,1.6,901.5368408356087,3.778796764420927
1-Nonanol,1.6,916.6579644647513,3.13208507272482
1-Decanol,1.6,1096.4560690453263,3.1129566914380256
2-Undecanone,1.6,1120.355388334789,3.174777488847888
Valerophenone,1.6,1227.5419832350522,3.627350247698211
1-Undecanol,1.6,1263.0118168130632,3.1019693579417487
Hexanophenone,1.6,1390.988203639492,3.576408889658229
1-Dodecanol,1.6,1421.9328078635117,3.084190805446675
2-Hexanone,1.7,219.96248684960545,3.059866122423607
Pentanol,1.7,248.13760875954682,2.814782820062954
4-Methyl-2-pentanone,1.7,268.1963758661386,2.7642435224337025
Heptanol,1.7,555.7609799681617,3.0015914630654827
Propiophenone,1.7,901.6906208293009,3.67856930409642
1-Nonanol,1.7,916.7674254510348,3.032066740426153
1-Decanol,1.7,1096.5438298525182,3.0129817679839523
2-Undecanone,1.7,1120.4314092980944,3.0748311430487645
Valerophenone,1.7,1227.619013571369,3.5274322146229906
1-Undecanol,1.7,1263.1371754260852,3.001919141610346
Hexanophenone,1.7,1391.1098065859535,3.4763334375797466
1-Dodecanol,1.7,1422.0958106714525,2.9840741076954886
2-Hexanone,1.8,219.97702681998558,2.9600649848853404
Pentanol,1.8,248.19290728780098,2.7148424186392224
4-Methyl-2-pentanone,1.8,268.26753825529096,2.6642748979802064
Heptanol,1.8,555.8136088484158,2.901685917100615
Propiophenone,1.8,901.8473358375871,3.5783290542311756
1-Nonanol,1.8,916.8868829778784,2.9320279411434456
1-Decanol,1.8,1096.6413905473107,2.912987531173549
2-Undecanone,1.8,1120.5168855418008,2.9748640910978033
Valerophenone,1.8,1227.688742697689,3.427540843198922
1-Undecanol,1.8,1263.2531224604418,2.9018872053697993
Hexanophenone,1.8,1391.223130843051,3.376286279754361
1-Dodecanol,1.8,1422.2578058297495,2.8839591325986986
2-Hexanone,1.9,219.9863410185285,2.8602762092766416
Pentanol,1.9,248.26469653473725,2.6148803638992533
4-Methyl-2-pentanone,1.9,268.3571762911689,2.5642865605646104
Heptanol,1.9,555.8584711361826,2.8017961149443713
Propiophenone,1.9,902.0055006551896,3.478082304685624
1-Nonanol,1.9,917.0159755775419,2.831969387360957
1-Decanol,1.9,1096.748958713889,2.8129735480277054
2-Undecanone,1.9,1120.6123256483572,2.8748751917612445
Valerophenone,1.9,1227.7519478924771,3.327673339005251
1-Undecanol,1.9,1263.3593787496504,2.801874116250865
Hexanophenone,1.9,1391.327920027283,3.2762683334896407
1-Dodecanol,1.9,1422.4171457035272,2.7838489364820047
2-Hexanone,2.0,219.99213808922084,2.760495791716277
Pentanol,2.0,248.35562336444775,2.514893154085916
4-Methyl-2-pentanone,2.0,268.4674384153263,2.4642761986129953
Heptanol,2.0,555.8969091103505,2.7019193670694017
Propiophenone,2.0,902.163586399543,3.3778355408973972
1-Nonanol,2.0,917.15406903512,2.7318923498203427
1-Decanol,2.0,1096.8664885838646,2.7129398844139203
2-Undecanone,2.0,1120.7180042081081,2.7748638155194785
Valerophenone,2.0,1227.809541607902,3.2278264121679396
1-Undecanol,2.0,1263.455919358134,2.7018799459485394
Hexanophenone,2.0,1391.4241362226394,3.176279767277575
1-Dodecanol,2.0,1422.5722685160247,2.6837464208457917
2-Hexanone,2.1,219.99566519937758,2.660720807876035
Pentanol,2.1,248.46797838791306,2.4148777500978826
4-Methyl-2-pentanone,2.1,268.59988512021806,2.3642421246328214
Heptanol,2.1,555.9303256345909,2.60205285928931
Propiophenone,2.1,902.3200676847307,3.277595243827105
1-Nonanol,2.1,917.3002638001342,2.6317986432490907
1-Decanol,2.1,1096.9936682911932,2.612887130880957
2-Undecanone,2.1,1120.8339391322286,2.674829895079718
Valerophenone,2.1,1227.8625483876542,3.1279963609041124
1-Undecanol,2.1,1263.5429615532664,2.6019042935609247
Hexanophenone,2.1,1391.5119530980176,3.0763200233495307
1-Dodecanol,2.1,1422.7217466797563,2.5836542424447724
2-Hexanone,2.2,219.99780667174318,2.560949183436081
