Name,shift,tR1,tR2
2-Hexanone,0.0,221.03111088504184,0.8414920091472664
Pentanol,0.0,251.85831161078468,0.586368706240367
4-Methyl-2-pentanone,0.0,271.88574152269484,0.5326898868353049
Heptanol,0.0,557.4059577404436,0.7794157303980224
Propiophenone,0.0,904.0500218275482,1.462149216769082
1-Nonanol,0.0,919.7648509189114,0.8062527106697644
1-Decanol,0.0,1099.6221559958617,0.7861524899521223
2-Undecanone,0.0,1123.5358595654684,0.849036052544327
Valerophenone,0.0,1229.423323203689,1.3112611323360275
1-Undecanol,0.0,1264.6829412521474,0.7773276360652205
Hexanophenone,0.0,1392.7433051245298,1.2595968746242723
1-Dodecanol,0.0,1424.15892553325,0.7575790800251377
2-Hexanone,0.1,221.27266590923566,0.7411564712561555
Pentanol,0.1,251.90083623932176,0.48644599316514175
4-Methyl-2-pentanone,0.1,271.9205568895182,0.43276234600880237
Heptanol,0.1,557.5785866628561,0.6792672900114071
Propiophenone,0.1,904.0961003494392,1.3623815080584842
1-Nonanol,0.1,919.8183529066982,0.7063491112394293
1-Decanol,0.1,1099.6917059049288,0.686213109069277
2-Undecanone,0.1,1123.615370324202,0.7490809299995068
Valerophenone,0.1,1229.571943066118,1.2110829332203765
1-Undecanol,0.1,1264.793406654864,0.6773076869781818
Hexanophenone,0.1,1392.8542511593319,1.1595603956210943
1-Dodecanol,0.1,1424.2108241250462,0.6576709435450726
2-Hexanone,0.2,221.5352365519006,0.6407705660351497
Pentanol,0.2,251.93212085719426,0.38653862247576914
4-Methyl-2-pentanone,0.2,271.94598107893086,0.33284532174254045
Heptanol,0.2,557.7565165340583,0.5791077870858391
Propiophenone,0.2,904.1448692658953,1.262602567797465
1-Nonanol,0.2,919.8662671230956,0.6064572985739269
1-Decanol,0.2,1099.7534224990388,0.5862895981701911
2-Undecanone,0.2,1123.6858723552903,0.6491460036663621
Valerophenone,0.2,1229.72446349343,1.1108900804360893
1-Undecanol,0.2,1264.9134962408432,0.5772685211894077
Hexanophenone,0.2,1392.973592071039,1.0594946928245332
1-Dodecanol,0.2,1424.2686210282498,0.5577517335112174
2-Hexanone,0.3,221.8118260012924,0.5403508501039023
Pentanol,0.3,251.95460083322075,0.2866432683787057
4-Methyl-2-pentanone,0.3,271.9641628862819,0.23293650039434916
Heptanol,0.3,557.937545688257,0.4789416535440295
Propiophenone,0.3,904.1975274185924,1.162807090187985
1-Nonanol,0.3,919.9098162312771,0.5065747124885539
1-Decanol,0.3,1099.8082865177314,0.486380028233481
2-Undecanone,0.3,1123.748188594295,0.5492295252620818
Valerophenone,0.3,1229.8795256952026,1.010687595933762
1-Undecanol,0.3,1265.0428159031765,0.47721090501158675
Hexanophenone,0.3,1393.1009089644124,0.95940109021118
1-Dodecanol,0.3,1424.3333637661403,0.45781936364784936
2-Hexanone,0.4,222.09418347489785,0.43991690030308944
Pentanol,0.4,251.97040540170792,0.1867570850774518
4-Methyl-2-pentanone,0.4,271.97695108418327,0.13303369664053483
Heptanol,0.4,558.119354321092,0.37877378576075904
Propiophenone,0.4,904.2552036084852,1.0629903814748956
1-Nonanol,0.4,919.9502910283497,0.4066986720461615
1-Decanol,0.4,1099.857402358748,0.38648213502101897
2-Undecanone,0.4,1123.8032993179033,0.4493293427296105
Valerophenone,0.4,1230.0356939760804,0.9104807592607885
1-Undecanol,0.4,1265.1807104702013,0.37713613994053236
Hexanophenone,0.4,1393.235566692187,0.8592819310596458
1-Dodecanol,0.4,1424.4059689482617,0.3578720784439496
2-Hexanone,0.5,222.37353459132345,0.3394896546153331
Pentanol,0.5,251.98132740222522,0.08687760387725503
4-Methyl-2-pentanone,0.5,271.98589254170537,0.033135325235135765
Heptanol,0.5,558.2995934044079,0.2786088797267951
Propiophenone,0.5,904.3189320065178,0.9631477810893002
1-Nonanol,0.5,919.9890281830892,0.3068264267675171
1-Decanol,0.5,1099.9019716115456,0.28659356806695135
2-Undecanone,0.5,1123.852312808584,0.3494428620364211
Valerophenone,0.5,1230.1915011844565,0.810274915577531
1-Undecanol,0.5,1265.3262755947533,0.277045972934875
Hexanophenone,0.5,1393.376723685355,0.7591398923204143
1-Dodecanol,0.5,1424.487194730265,0.25790851952628935
2-Hexanone,0.6,222.64139449758605,0.23908942690931703
Pentanol,0.6,247.9888352554981,3.987002724046283
4-Methyl-2-pentanone,0.6,267.9922645840399,3.9332397943035877
Heptanol,0.6,558.4759772902482,0.17845168805649497
Propiophenone,0.6,904.3896279616216,0.8632754756728152
1-Nonanol,0.6,920.027390117842,0.20695509503039924
1-Decanol,0.6,1099.943268561711,0.1867117172139751
2-Undecanone,0.6,1123.8964378469532,0.24956749434483913
Valerophenone,0.6,1230.3454915054351,0.7100755733062428
1-Undecanol,0.6,1265.4783766111882,0.17694268086770504
Hexanophenone,0.6,1393.523354215272,0.658978663398894
1-Dodecanol,0.6,1424.5776120719654,0.15792754303513443
2-Hexanone,0.7,222.89033098213673,0.13873375302775942
Pentanol,0.7,247.99411773664696,3.8871310326682917
4-Methyl-2-pentanone,0.7,267.99713227596607,3.8333460233331866
Heptanol,0.7,558.6463694015237,0.07830661903115499
Propiophenone,0.7,904.468063124482,0.7633700678522379
1-Nonanol,0.7,920.0667453924023,0.10708180420454205
1-Decanol,0.7,1099.9826174767684,0.08683393229682079
2-Undecanone,0.7,1123.9369585470795,0.1497003582535365
Valerophenone,0.7,1230.4962650220325,0.6098877673527173
1-Undecanol,0.7,1265.6356756081584,0.07682890264900005
Hexanophenone,0.7,1393.6742717893062,0.5588024075451997
1-Dodecanol,0.7,1424.6775829253495,0.05792843296266231
2-Hexanone,0.8,223.11456535366142,0.038436565057669216
Pentanol,0.8,247.99815107790133,3.787261080029085
4-Methyl-2-pentanone,0.8,268.0014216788635,3.733452973672196
Heptanol,0.8,554.8088627456852,3.9781775783864046
Propiophenone,0.8,904.5548415937552,0.6634289985852116
1-Nonanol,0.8,919.9634354895047,0.15221790344152178
1-Decanol,0.8,1096.0213718641903,3.986957453059198
2-Undecanone,0.8,1123.9752118778208,0.0498384113166711
Valerophenone,0.8,1230.6425192356478,0.5097163734720911
1-Undecanol,0.8,1261.7966725807078,3.9767075980743685
Hexanophenone,0.8,1393.828163951452,0.4586154895219012
1-Dodecanol,0.8,1420.7872361755024,3.957910948079257
2-Hexanone,0.9,219.31034091233394,3.938207004420891
Pentanol,0.9,248.00177926888617,3.687391701812953
4-Methyl-2-pentanone,0.9,268.00600240097924,3.6335596234479532
Heptanol,0.9,554.9618404967647,3.8780679537130003
Propiophenone,0.9,904.6503780415934,0.5634502207700904
1-Nonanol,0.9,916.1538249246479,3.9073182037810006
1-Decanol,0.9,1096.0608945941233,3.887079568466967
2-Undecanone,0.9,1120.0125666540848,3.9499786654940845
Valerophenone,0.9,1230.7830853705327,0.4095657393588192
1-Undecanol,0.9,1261.9597487554859,3.8765820038857735
Hexanophenone,0.9,1393.9836315206517,0.35842284432217875
1-Dodecanol,0.9,1420.9064560845763,3.857875234868829
2-Hexanone,1.0,219.47601888732441,3.8380488637873924
Pentanol,1.0,248.0058014723057,3.5875219126317663
4-Methyl-2-pentanone,1.0,268.0117735900905,3.5336649855730213
Heptanol,1.0,555.1040257765295,3.777980337679781
Propiophenone,1.0,904.7548786065375,0.46343292680561166
1-Nonanol,1.0,916.204139475612,3.807422473261947
1-Decanol,1.0,1096.1025384247005,3.787197555020394
2-Undecanone,1.0,1120.050404848905,3.8501179624703408
Valerophenone,1.0,1230.9169612727767,0.3094395750208668
1-Undecanol,1.0,1262.1232208268832,3.7764554762682283
Hexanophenone,1.0,1394.1392272486967,0.2582295172760687
1-Dodecanol,1.0,1421.0348655073012,3.7578220271176153
2-Hexanone,1.1,219.61191951688969,3.737961636359619
Pentanol,1.1,248.01106165379406,3.48765047019642
4-Methyl-2-pentanone,1.1,268.01974831894466,3.433767962530156
Heptanol,1.1,555.2345084317383,3.6779166866508954
Propiophenone,1.1,904.8683269337407,0.3633772327450274
1-Nonanol,1.1,916.2605827596553,3.7075140535343567
1-Decanol,1.1,1096.1476259561605,3.6873087088852667
2-Undecanone,1.1,1120.0901029493089,3.750253260831957
Valerophenone,1.1,1231.0433353506794,0.20934093856867944
1-Undecanol,1.1,1262.2853922535658,3.6763313769533617
Hexanophenone,1.1,1394.2935016801214,0.15804050192087749
1-Dodecanol,1.1,1421.1718349473642,3.6577524902527148
2-Hexanone,1.2,219.71996958584742,3.6379407237470316
Pentanol,1.2,248.01853633698747,3.3877761152354156
4-Methyl-2-pentanone,1.2,268.0311309482209,3.333867143975572
Heptanol,1.2,555.3527531797505,3.5778780647947785
Propiophenone,1.2,904.990473783482,0.2632839405371402
1-Nonanol,1.2,916.324240348465,3.607590702953747
1-Decanol,1.2,1096.1974282797594,3.5874104586129993
2-Undecanone,1.2,1120.1330129521225,3.650381433830358
Valerophenone,1.2,1231.1616048655376,0.10927198514713905
1-Undecanol,1.2,1262.4446107127033,3.5762130279525035
Hexanophenone,1.2,1394.445045684208,0.05786079425762032
1-Dodecanol,1.2,1421.316484907773,3.557668290341848
2-Hexanone,1.3,219.80323662097365,3.537978818040386
Pentanol,1.3,248.02941541801627,3.287897246096435
4-Methyl-2-pentanone,1.3,268.04738083567406,3.233960963172427
Heptanol,1.3,555.4585927886003,3.4778649530073458
Propiophenone,1.3,905.1208376404185,0.1631552297040858
1-Nonanol,1.3,916.396065860475,3.5076503783952493
1-Decanol,1.3,1096.253141437974,3.487500418207454
2-Undecanone,1.3,1120.180442234511,3.55049978042369
Valerophenone,1.3,1231.2662164639582,0.014403813200476791
1-Undecanol,1.3,1262.599318539982,3.4761035226525565
Hexanophenone,1.3,1390.5925330185569,3.957694817105869
1-Dodecanol,1.3,1421.4677055864206,3.4575714736375405
2-Hexanone,1.4,219.86543193206887,3.4380674136235747
Pentanol,1.4,248.04516998575656,3.188011827305057
4-Methyl-2-pentanone,1.4,268.07025423071156,3.1340474306671893
Heptanol,1.4,555.5522022858692,3.377876900372565
Propiophenone,1.4,905.2587071060083,0.06299403339549603
1-Nonanol,1.4,916.476852042456,3.407691404489168
1-Decanol,1.4,1096.3158612562231,3.3875763347820236
2-Undecanone,1.4,1120.2336306509685,3.450605270910996
Valerophenone,1.4,1227.3725165796607,3.9092284611311117
1-Undecanol,1.4,1262.7481029500907,3.3760057006119513
Hexanophenone,1.4,1390.7347572971064,3.8575470513200267
1-Dodecanol,1.4,1421.6241863304424,3.3574645724271925
2-Hexanone,1.5,219.91045911717154,3.338196855907491
Pentanol,1.5,248.06759793466767,3.0881174231743445
4-Methyl-2-pentanone,1.5,268.1018148907533,3.0341242613188526
Heptanol,1.5,555.6340642459074,3.2779129980213533
Propiophenone,1.5,901.4031579071441,3.962804476069703
1-Nonanol,1.5,916.5672013462106,3.307712559193093
1-Decanol,1.5,1096.3865558609323,3.2876362711115497
